"question_id","answer","description","option1","option2","option3","option4"
"64","3","人的自我意识是从什么时候产生的？","3岁左右","4岁左右","1岁左右","2岁左右"
"65","3","老年糖尿病人最基本的治疗方法是？","气功疗法","针灸疗法","饮食疗法","锻炼疗法"
"66","3","一滴水环游世界所有的海区需要多长时间？","50年","5年","5000年","500年"
"67","2","以地球与月球的平均距离计算，光在地球和月球之间往返一次约需多长时间？","5.6秒","2.6秒","3.6秒","4.6秒"
"68","4","上海申办世博会成功，该世博会将在哪年举行？","2011年","2012年","2013年","2010年"
"69","3","黄河多少岁？","75万岁","85万岁","55万年","65万岁"
"70","3","不在地球自传轴方向上的星座，黄昏时在东方天空，到黎明时它会出现在？","北方的天空上","南方的天空上","西方的天空上","东方的天空上"
"71","1","世界海拔最高的隧道在？","中国","印度","美国","日本"
"72","3","欧洲最高峰在哪个国家？","北爱尔兰","挪威","法国","米兰"
"73","2","世界上哪个国家没有猫？","法国","马尔代夫","德国","乌克兰"
"74","1","河西走廊全长？","1200公里","1300公里","1400公里","1500公里"
"75","1","乾隆皇帝把“天下第一泉”美名给了哪个泉？","趵突泉","云泉","五里泉","谷帘泉"
"76","3","MP3是一种什么文件格式？","数据文件","格式化文件","音乐文件","文本文件"
"77","2","“博斯腾湖”维吾尔语的意思是什么？","源泉","绿洲","美丽的","生命"
"78","4","世界上哪个国家最早使用手印？","印度","阿拉伯","英国","中国"
"79","2","什么被称为百味之首？","醋","盐","糖","味精"
"80","2","陈寿的《三国志》共多少卷？","70","65","68","69"
"81","3","得“七绝圣手”之名的诗人是谁？","杜甫","李白","王昌龄","柳公权"
"82","4","“寿比南山”中的“南山”是指哪个省的一座山？","广东省佛山市","云南省乐山市","浙江省杭州市","山东省云门山"
"83","4","联合国教科文组织于____年通过《世界遗产决议》？","1974年","1975年","1976年","1973年"
"84","3","音乐大师莫扎特出生在奥地利的___","萨尔斯堡","富金","萨尔茨堡","维也纳"
"85","3","被誉为奥地利“第二国歌”的是哪首乐曲？","《嬉游曲》","《协奏曲》","《蓝色多瑙河》","《小夜曲》"
"86","4","“冬天来了，春天还会远吗？”是哪位诗人的诗句？","济慈","拜伦","玛丽","雪莱"
"87","2","美国的载人宇宙飞行始于____年","1981年","1961年","1971年","1951年"
"88","3","《不扩散核武器条约》于____年签署","1969年","1970年","1968年","1967年"
"89","3","狮子座流星雨通常发生在每年____左右","7月","5月","3月","4月"
"90","2","全世界有史以来开采的黄金总量为__万吨","17","14","15","16"
"91","2","音乐家舒伯特是哪国人？","英国","奥地利","挪威","法国"
"92","3","晁盖等人在哪里夺取的生辰纲？","猛虎冈","饿虎冈","黄泥冈","生辰冈"
"93","2","劳动合同中，试用期最长不得超过多久？","3个月","6个月","5个月","4个月"
"94","4","法定节假日安排劳动者工作的，报酬不得低于工资的","5倍","7倍","9倍","3倍"
"95","2","PT股票下跌多少算跌停？","跌停到30%","没有跌停","跌停到10%","跌停到20%"
"96","3","试用期内，劳动者何时可以通知用人单位解除劳动合同？","十日前","一月前","随时","一周前"
"97","3","形容股市的大幅振荡的情况叫做什么？","熊市","狗市","猴市","牛市"
"98","1","人体内含有的染色体数为","23对","46对","25对","50对"
"99","3","我国古代被称为药王的著名医学家是_____","扁鹊","华佗","孙思邈","李时珍"
"100","1","我国文学史上流传的佳句“但愿人长久，千里共婵娟”是北宋诗人()的作品。","苏轼","苏洵","苏辙","王安石"
"101","2","发现行星运动之定律的天文学家是","罗素","开普勒","牛顿","爱因斯坦"
"102","1","阿波罗号宇宙飞船是飞达月球的时间是_____","1969年","1968年","1985年","1984年"
"103","2","最早发明汽车的人是_____","德国人哥德利普·戴姆勒","德国发明家本茨","法国工程师古诺","意大利科学家沃尔兹"
"104","3","我国最早的数学著作是_____","《孙子算经》","《夏侯阳算经》","《周髀算经》","《九章算术》"
"105","1","很多人都认为梳头只是打理个人形象的问题，其实梳头有很大的学问，俗语中就有“每天梳头十分钟，预防_________”的说法。","脑中风","高血压","低血压","瘫痪"
"106","2","每个国家都有不同的风俗习惯和有趣的节日，你知道古罗马时代的牧神节是一个什么样的节日吗？","朋友们的节日","情侣们的节日","父母的节日","老师的节日"
"107","4","小步舞曲原为_____国土风舞，一种三拍子的舞曲，约在1650年传入宫廷，逐步变成速度徐缓、风格典雅的舞曲，流行于贵族社会。","德国","荷兰","英国","法国"
"108","1","猪肝含有多种营养物质，但不少人并不知道，猪肝食用前要去毒。由于猪肝中的毒血液分散存留在数以万计的肝血中，因此买回猪肝后要在自来水笼头上冲洗一下，然后放置盆内浸泡1-2_________，去掉残血。","小时","分钟","天","月"
"109","2","人在体育锻炼后，应多吃些富含_________性的食物，如水果、蔬菜、豆制品等，以利于保持人体内酸碱度的基本平衡，保持人体健康，尽快消除运动带来的疲劳。","锡","碱","铁","锌"
"110","1","你知道“东床快婿”的典故出自下面哪位人物吗？","王羲之","王安石","苏轼","唐伯虎"
"111","2","2003年NBA最新宣传片由来自中国的小巨人姚明挑大梁，在片中姚明要表演一项他从来没有练过的运动，您知道是什么吗？","跳水","太极拳","体操","跳高"
"112","1","不少年轻父母晚上睡觉时，喜欢把孩子放在父母中间，这对孩子的健康是十分有害的，成人脑组织的耗氧量约占全身耗氧量的20％，而婴幼儿可高达_________％。婴儿若睡在父母中间，会使孩子处于一个缺氧和高浓度二氧化碳的环境中。","50","60","70","80"
"113","2","紫檀的生长期极其缓慢，每_________年才长粗3厘米，八九百年乃至上千年才能长成材。","400年","100年","200年","300年"
"114","2","《勇敢的心》是一部描写苏格兰民众反抗英王暴政的史诗巨片，影片的导演和男主角均由谁来担当？","李奥纳多·迪卡普里奥","梅尔．吉布森","威尔·布鲁斯","小罗伯特·唐尼"
"115","3","吃富含下列哪种维生素的食物能使皮肤保持白皙？","维生素A","维生素D","维生素E","维生素B"
"116","4","现在实行的全国统一鞋号，是以脚长为基础，以_________毫米为一个号","15","18","20","10"
"117","2","西安饺子宴被称做“天下一鲜”、“华夏一绝”，自1984年推出以来已有几百个不同花色的饺子，分为百花宴、牡丹宴、龙凤宴、宫廷宴、八珍宴等几个档次。请问西安饺子宴诞生于以下哪家饭店","春华楼","解放路饺子馆","解元馆","状元楼"
"118","3","马拉松赛跑是为了纪念为了尽快传递胜利的喜讯，从马拉松城一直跑到雅典而牺牲的斐利皮德斯而设立的，您知道马拉松赛跑的距离是42公里_________米吗？","194","205","195","196"
"119","1","涤羊毛织物的最佳水温是____","25","28","18","27"
"120","1","多数研究表明，眉毛的生长周期为几个月?","2","3","4","5"
"121","1","一杯品制良好的咖啡，冷却之后除了香味减少之外，口感的表现甚至会比温度热时更好。但因为咖啡本质的不稳定性，所以大多鼓励趁咖啡热时就饮用，你知道咖啡最佳的饮用温度是摄氏多少度吗？","85~88","67~68","55~57","36~38"
"122","3","农历七月十五日是民间俗称的“鬼节”，也称为“盂兰盆节”，您知道还叫_________节吗？","七夕","重阳","中元","中秋"
"123","3","北京有一个书屋叫“古格书吧”,专门介绍西藏文化,你知道它在什么地方吗？","秀水街","隆福寺街","法华寺街","王府井大街"
"124","3","未煮熟的豆浆可能含有胰抑制酶、皂甙等物质，食后会引起恶心呕吐、腹胀等中毒症状，因此豆浆一定要煮沸几分钟才可以食用呢？","11~15分钟","25~30分钟","5-10分钟","1~3分钟"
"125","4","请问由成都飞机工业公司制造的哪种战斗机将明显提高解放军的空战能力？","歼-11","歼-12","歼-13","歼-10"
"126","3","1952年，我国举办了第一届全国评酒会，评出白酒四大名酒，你知道这四大名酒是什么？","茅台、大曲、泸州老窖、西凤酒","五粮液、茅台、小曲、汾酒","茅台、汾酒、泸州老窖、西凤酒","大曲、小曲、麸曲、串香
"
"127","1","请问下面哪种洗发剂能防止面部出现皱纹或减轻皱纹？","酸性洗发剂","碱性洗发剂","含硒洗发剂","含碘洗发剂"
"128","2","空姐最早出现在哪个国家？","德国","美国","英国","法国"
"129","4","世界杯足球赛是仅次于奥运会的世界级比赛，你知道第一届世界杯足球赛是在哪里举办的？","英国","法国","德国","美国"
"130","3","2002年11月_________日，首个世界慢性阻塞性肺疾病日成立。“慢阻肺”是一种慢性进行性呼吸道疾病，是慢性支气管炎和肺气肿的总称，与艾滋病并列的第四大致死原因。","17","19","20","15"
"131","1","月季花姿秀美，花色绮丽，国外尊称它为“花中皇后”，你知道月季原产于哪个国家吗？","中国","法国","荷兰","日本"
"132","1","圣诞节的时候，除了圣诞树、圣诞礼物，圣诞大餐是不可或缺的，您知道圣诞大餐上的主菜是什么吗？","火鸡大餐","猪扒大餐","牛扒大餐","鸵鸟大餐"
"133","3","世界淡水资源的65％集中在10个国家,我国____","第6","第7","第4","第5"
"134","3","太阳系九大行星中，卫星数量仅次于土星的是_____","冥王星","海王星","木星","金星"
"135","1","“抗坏血病维生素”是以下哪种维生素____","维生素c","维生素B","维生素A","维生素D"
"136","1","1955年4月11日发生了震惊中外的克什米尔公主号事件，谋杀对象本是:","周恩来","毛泽东","朱德","彭德怀"
"137","3","哪部书不属巴金的《爱情》三部曲?","《春》","《风》","《秋》","《家》"
"138","4","我国“义务教育”与“普及教育”的最重要区别在于?","不收费原则","义务性","公民自主性","强制性"
"139","3","年轮并非树木独有，人类和许多动物也有年轮，只是表现的形式不同罢了。人的年轮在?","脚心","大腿","头颅","手心"
"140","2","一天之中什么时候的空气最新鲜?","晚7点到早10点这一阶段","晚7点到早7点这一阶段","晚7点到早8点这一阶段","晚7点到早9点这一阶段"
"141","1","沙狐球在中国是个全新的时尚运动，近来受到越来越多人士的钟爱，作为一种休闲消遣游戏，你知道它起源于15世纪的_________国吗？","英","法","德","俄"
"142","4","我们经常担心使用微波炉时身体会受到微波泄漏的伤害，其实微波炉微波的频率是_________兆赫，这种微波不能透入人体内部的器官和组织，只能使皮肤和体表组织发热而已。","2460","2470","2480","2450"
"143","4","重阳节又称“老人节”，人们在这一天有插茱萸，饮_________酒，登山，吃重阳糕等风俗。","兰花","梨花","梅花","菊花"
"144","1","健胃制酸药应该什么时候服用？","饭前","饭后","起床后","睡前"
"145","4","世界上妇女最早取得选举权的国家是芬兰，始于_________年。","1907年","1908年","1909年","1906年"
"146","2","现在的北极星是小熊座α型星，但是通过电脑我们可以精确计算出，公元3000年时占据北极位置的却是天龙座α型星。在古希腊时代，北极星是小熊座β型星；到了公元14000年，它将变成____","启明星","织女星","大熊星","牛郎星"
"147","2","一般人的第一个梦的梦境的持续时间约为5~15分钟（平均约为10分钟），请问人在一夜内大约要做几个梦？","8-9个","4-6个","6-7个","7-8个"
"148","3","德国著名作曲家门德尔松在_________岁完成了《仲夏夜之梦序曲》的创作。","18","19","17","16"
"149","1","您知道世界环境日是每年的几月几日吗？","6月5日","7月5日","8月5日","9月5日"
"150","2","你知道国际足联最近首次认定足球起源于_________吗？","德国","中国","法国","澳大利亚"
"151","3","所谓红木家具主要是指用紫檀木、酸枝木、乌木，瘿木、花梨木、鸡翅木制成的家具，除此之外的木材制作家具都不能称为红木家具，其中_________是红木中的极品。","酸枝木","香红木","紫檀木","鸡翅木"
"152","4","现在的电影事业发展越来越快，可是你知道中国的第一部彩色故事片是下面的哪一部吗？","《祈祷》","《新龙门客栈》","《青春岁月》","《祝福》"
"153","2","欧盟，一个由多个发达国家组成的联合体，在世界经济中起到了举足轻重的作用。欧元的发行在欧盟历史上是一个关键性的时刻，它进一步促进了欧洲一体化的进程。请问，在欧元制定过程中起到重要作用，被誉为“欧元之父”的是谁？","约翰·斯图亚特·密尔","曼德尔（蒙代尔）","大卫·李嘉图","亚当·斯密 "
"154","1","一年一度的中关村电脑节已经成为中国IT企业展示实力及引领中国IT产业发展潮流的盛会，并越来越受到国内外的关注。你知道在2002年9月举行的是第_________届中关村电脑节吗？","五","六","七","八"
"155","3","贝多芬出身于_________国的平民家庭，他信仰共和，崇尚英雄，创作了大量充满时代气息的优秀作品，如交响曲《命运》；序曲《哀格蒙特》；钢琴奏鸣曲《月光》等。","英","美","德","法"
"156","2","1970年4月_________日，在美国爆发了有2000万人参加的公民环保运动，这一天被命名为世界地球日。","25","22","23","24"
"157","2","你知道下面哪位是《战争与和平》的作者吗？","小仲马","列夫.托尔斯泰","罗伯特·勃朗宁","大仲马"
"158","4","小姐原是尊称还是贱称？","尊称","都是","都不是","贱称"
"159","3","在约会或赴宴前多少分钟抹香水，是“喷香水的最佳时间”？","30分钟以上","5分钟","20-30分钟","15—20分钟"
"160","2","中国政策科学研究会铅防治问题研究组副组长苏银琥介绍，早在3年前，国际消除儿童铅中毒联盟的专家就告诫说，中国如不进行儿童铅中毒的防治，20年后中国人平均智力将比美国人低_________%。","8","5","6","7"
"161","1","“东来顺”始建于公元_________年，距今已有近百年的历史，以经营独具民族特色的涮羊肉而驰名海内外，并逐步发展为集涮、炒、爆、烤四大系列200多个品种于一体的清真菜肴体系。","1903年","1904年","1905年","1906年"
"162","1","第一位三次捧走世界杯的球员是巴西的贝利，他参加了四届世界杯比赛，他带领巴西队在_________年、1962年、1970年三次夺冠。","1958年","1954年","1966年","1974年"
"163","4","按照我国有关法规，股份有限公司注册资本的最低限额为人民币_________万元。","5000","10000","100000","1000"
"164","2","世界上第一个足球协会--英格兰足球协会的成立标志着现代足球运动的诞生，请问它成立的时间是_________年？","1866年","1863年","1864年","1865年"
"165","1","中国女篮在奥运会上的最好成绩是第几名？","第二名","第一名","第三名","第四名"
"166","4","“美国的国球”之一的_________运动是美国人十分喜爱的运动。1846年6月，在纽约的霍普肯举行了这项运动的第一次比赛。","足球","篮球","桌球","棒球"
"167","4","随着娱乐业的发展，电影节应运而生，每个国家都有自己的电影节，你知道世界上第一个电影节是_________电影节吗？","非洲","香港","台湾","威尼斯"
"168","2","制造出全球第一台PC的IBM公司将谁称为“现代PC之父”，这是因为他改变了一个行业以及计算机使用者的思考方式。","蒂姆·伯纳斯","艾伦","约翰·麦卡锡","帕特森"
"169","4","中国内地已成为全球体育用品最大的生产基地，国际市场上有百分之多少的体育用品在中国制造？","0.5","0.6","0.7","0.65"
"170","4","“纳奥米坎贝尔”这位活跃在世界T型舞台上的黑人姑娘，被誉为什么？","黑玫瑰","黑宝石","非洲玉","黑珍珠"
"171","1","你知道电影《英雄》是哪位导演的作品吗？","张艺谋","陈凯歌","冯小刚","冯小宁"
"172","3","睡莲也被叫做“水百合”、“子午莲”，它象征着纯洁与纯真，也象征着清净，您知道哪个国家将睡莲作为国花吗？","德国","印度","泰国","法国"
"173","1","北约组织21日举东扩会议，会议决定把保加利亚、罗马尼亚、斯洛伐克、斯洛文尼亚、爱沙尼亚、拉脱维亚和立陶宛7个中东欧国家列入北约，北约成员国增加到_________个。","26","27","28","29"
"174","1","X射线是哪国人发现的？","德国","美国","英国","法国"
"175","1","_________年3月18日，《中国人民银行法》颁布，从而确立了中国人民银行作为我国的中央银行的法律地位。","1995","1996","1997","1998"
"176","3","做梦与睡眠一样必要，缩短做梦时间会引起猜疑、偏执、忧虑、急躁、幻觉、个性分裂、食欲加大及体重_________等现象。","脱水","浮肿","增加","减轻"
"177","3","随着潮流走向和来自时装设计师的灵感，服装发展已经走向多元化的道路，复古、波西米亚、波普文化的浪潮席卷而来，你知道服装史上的什么时期是典型的浪漫主义时期吗？","1975—1998年","1985—2007年","1852－1882年","1935—1967年"
"178","1","1930年5月，波音公司开始启用“空中小姐”，“空中小姐”一词也由此进入吉尼斯世界大全的航空篇。新中国成立后，正式招收的第一批空中小姐是在哪年的年底？","1955年","1956年","1957年","1958年"
"179","3","经过今人整理的著名英雄史诗《江格尔》有十三章和十五章本，每一章讲述一段完整的故事，具有说唱艺术的特点。请问《江格尔》是我国哪个民族的作品？","维吾尔族","傣族","蒙古族","藏族"
"180","2","大家称老张今年为“耳顺之年”，你知道“耳顺”代指多少岁吗？","九十","六十","七十","八十"
"181","1","啤酒的最佳饮用温度是多少摄氏度？","8-10度","5—15度","10—12度","20—22度"
"182","1","唐代魏征在《道观内柏树赋》中写道“涉青阳不增其华，历玄英不减其翠”。请问“玄英”是哪个季节的别称？","冬","春","夏","秋"
"183","4","上海成功获得2010年世博会的主办权，你知道德国汉诺威主办的2000年世博会的主题是下列哪个吗？","城市,让生活更美好","进步的世纪","通过竞争获取和平","人类-自然-科技-发展"
"184","4","现代人们所熟悉的蒸馏酒分为白酒、白兰地、威士忌、伏特加酒、兰姆酒等。白酒一般是粮食酿成后经蒸馏而成的，白兰地是葡萄酒蒸馏而成的，你知道兰姆酒是下列哪种原料经蒸馏而成的吗？","蜂蜜","苹果","葡萄","甘蔗"
"185","4","世界上平均海拔最高的洲是？","美洲","亚洲","非洲","南极洲"
"186","4","哪个国家有“万塔之国”的称号？","泰国","印度","柬埔寨","缅甸"
"187","3","哪个国家有“千湖国”的称号？","印度","俄国","芬兰","纽约"
"188","3","哪个国家有“铜矿之国”的称誉？","瑞士","雅典","智利","法国"
"189","4","哪个国家有热带雨林？","希腊","英国","荷兰","马来西亚"
"190","2","哪个国家的人口仅次于中国？","韩国","印度","美国","英国"
"191","4","哪个国家的人实现了人类首次环球飞行？","英国","法国","德国","美国"
"192","1","哪个国家的军队组织的军事史上的步兵首次刺刀冲锋？","法国","中国","俄国","德国"
"193","1","哪个国家的军队首次空投炸弹？","奥地利","荷兰","芬兰","瑞典"
"194","1","哪个国家的军队首次进行飞机轰炸？","意大利","法国","韩国","美国"
"195","1","哪个国家的君主在推翻帝制的革命中被送上断头台？","法国","挪威","英国","德国"
"196","1","哪个国家的国旗有“太极旗”之称？","韩国","缅甸","希腊","芬兰"
"197","2","哪个国家的垃圾产量居世界第一？","韩国","美国","中国","英国"
"198","1","哪个国家的天文工作者创造性地改进了认证类星体的方法？","中国","日本","韩国","德国"
"199","3","哪个国家的法官没有参加东京审判？","德国","英国","挪威","法国"
"200","3","埃及地处非洲的？","西部","中部","东北部","南部"
"201","1","哪个国家的版图横跨欧亚大陆？","土耳其","雅典","意大利","瑞士"
"202","2","哪个国家的首都是安卡拉？","瑞士","土耳其","雅典","意大利"
"203","4","哪个国家研制的第一支现代喷火器是？","法国","日本","英国","德国"
"204","2","哪个国家获得第二届世界杯足球赛的冠军？","韩国","意大利","德国","法国"
"205","1","哪个国家被称为“城堡之国”？","英国","挪威","韩国","日本"
"206","4","哪个城市最早使用地铁？","东京","首尔","北京","伦敦"
"207","3","哪个城市有“塞外江南”之称？","伊熁 ","赤峰","伊犁","博湖"
"208","1","哪个城市有“鱼米之乡”的号称？","无锡","杭州","苏州","湖州"
"209","2","猴子互相抓背,在彼此的身上抓什么吃?","树的种子","盐粒","虱子","跳蚤"
"210","1","哪个城市被称作“草原钢城”？","包头","乌兰浩特","通辽","鄂尔多斯"
"211","2","哪个是理性主义的哲学家？","罗素","笛卡儿","海德格尔","尼采"
"212","2","哪个朝代不在北京建都？","清","宋","元","明"
"213","4","哪个朝代与唐朝的宦官专权类似？","西汉","唐","宋","东汉"
"214","1","哪个朝代是中国最后一个皇朝？","清","元","明","唐"
"215","1","哪个朝代没有修过长城？","唐","秦","汉","明"
"216","2","哪个朝代称面条为冷淘？","明朝","唐朝","元朝","宋朝"
"217","3","哪个条约的签署标志着甲午战争结束？","天津条约","北京条约","马关条约","辛丑条约"
"218","4","哪个条约签定标志着中国完全沦为半殖民地半封建社会？","马关条约","天津条约","北京条约","辛丑条约"
"219","1","哪个欧洲国家首先推翻封建制度？","英国","法国","美国","德国"
"220","2","哪个民族建立的北魏？","朝鲜族","鲜卑族","女真族","蒙古族"
"221","4","哪个水果是“水果之王”，其维生素C含量极高？","苹果","鸭梨","葡萄","弥猴桃"
"222","4","哪个法国国王曾说过“朕即国家”？","威廉","路易十五","路易十八","路易十四"
"223","2","哪个法国皇帝被送上断头台？","路易十八","路易十六","路易十四","路易十五"
"224","3","哪个洲人口超过一亿的国家最多？","美洲","大洋洲","亚洲","非洲"
"225","3","哪个洲平均海拔最高？","美洲","大洋洲","南极洲","非洲"
"226","1","哪个洲是世界上最小的？","澳洲","南美洲","北极洲","北美洲"
"227","2","“星垂平野阔，月涌大江流”是谁的诗句？","李商隐","杜甫","李白","白居易"
"228","3","哪年被称为“非洲独立年”？","1940年","1930年","1960年","1950年"
"229","2","哪个皇帝下令停止屠杀基督徒？","屋大维","君士坦","尼禄","凯撒"
"230","3","哪个省处于青藏、黄土、内蒙古高原的接触地带？","云南","江西","甘肃","贵州"
"231","2","哪个省的地方戏是“黄梅戏”？","上海","安徽","绍兴","云南"
"232","2","哪个省的少数民族最多？","西藏","云南","江西","湘西"
"233","3","哪个科学家提出“相对论”？","牛顿","伽利略","爱因斯坦","爱迪生"
"234","2","以下不是东北三省的省会的是？","辽宁","大连","黑龙江","吉林"
"235","1","哪个美国总统废除黑奴制度？","林肯","奥巴马","华盛顿","布什"
